Map	Roundtype	Blue Team	Red Team	time	len	KB	KR	UB	UR	FB	Death Sequence
Numbani	Attack	 LDN	 FLA	2:50	17	6	1	0	0	B	AnaMercyMercyD.VaSoldier: 76TracerWinston
Numbani	Attack	 LDN	 FLA	1:38	36	4	7	5	3	R	Soldier: 76Soldier: 76ZenyattaAnaWinstonMercyMercyTracerD.VaD.VaSoldier: 76
Numbani	Attack	 LDN	 FLA	0:54	9	6	0	0	0	B	D.VaAnaMercySoldier: 76TracerWinston
Numbani	Attack	 LDN	 FLA	0:23	13	2	1	0	0	B	TracerSoldier: 76Winston
Numbani	Attack	 LDN	 FLA	4:25	34	7	1	2	1	B	Soldier: 76ZenyattaWinstonTracerWinstonD.VaMercySoldier: 76
Numbani	Defense	 LDN	 FLA	0:39	23	7	1	0	0	R	AnaWinstonZenyattaMercyWidowmakerWinstonSoldier: 76D.Va
Numbani	Defense	 LDN	 FLA	1:38	3	1	0	1	0	B	Soldier: 76
Numbani	Defense	 LDN	 FLA	1:44	26	6	0	3	0	B	WinstonSoldier: 76ZenyattaMercyWinstonTracer
Numbani	Defense	 LDN	 FLA	3:06	33	5	4	0	2	R	WinstonWinstonSoldier: 76D.VaD.VaZenyattaTracerMercyTracer
Numbani	Defense	 LDN	 FLA	3:55	28	7	1	1	3	B	ZenyattaSoldier: 76AnaSoldier: 76ZenyattaMercyD.VaTracer
Dorado	Attack	 PHI	 HOU	0:20	13	4	1	0	0	B	MercyZenyattaZenyattaSoldier: 76D.Va
Dorado	Attack	 PHI	 HOU	1:00	24	1	6	0	2	R	TracerZenyattaZenyattaWinstonD.VaGenjiMercy
Dorado	Attack	 PHI	 HOU	1:53	37	8	2	4	1	R	ZenyattaSoldier: 76ZenyattaWinstonTracerWinstonD.VaSoldier: 76ZenyattaMercy
Dorado	Attack	 PHI	 HOU	3:03	23	6	1	1	0	B	ZenyattaSoldier: 76ZenyattaMercyTracerWinstonD.Va
Dorado	Attack	 PHI	 HOU	3:47	55	9	4	4	4	B	TracerWinstonD.VaMercyWinstonD.VaSoldier: 76ZenyattaWinstonWinstonMercyD.VaTracer
Dorado	Attack	 PHI	 HOU	5:15	9	0	5	0	0	R	D.VaZenyattaMercyWinstonGenji
Dorado	Attack	 PHI	 HOU	5:57	29	8	1	3	2	B	JunkratD.VaWinstonTracerJunkratZenyattaWinstonTracerMercy
Dorado	Attack	 PHI	 HOU	6:41	50	4	5	1	3	R	TracerGenjiD.VaWinstonTracerJunkratMercyWinstonZenyatta
Dorado	Defense	 PHI	 HOU	0:17	11	0	6	0	0	R	TracerGenjiZenyattaWinstonMercyD.Va
Dorado	Defense	 PHI	 HOU	0:59	50	7	5	2	0	B	WidowmakerZenyattaMercyPharahWinstonWidowmakerGenjiTracerMercyD.VaWinstonTracer
Dorado	Defense	 PHI	 HOU	1:58	11	1	1	2	2	R	MercyPharah
Dorado	Defense	 PHI	 HOU	2:23	17	1	6	1	1	R	WinstonMercyGenjiD.VaZenyattaZenyattaTracer
Dorado	Defense	 PHI	 HOU	3:20	0	1	0	0	0	B	Widowmaker
Dorado	Defense	 PHI	 HOU	3:39	30	5	2	2	2	B	PharahWinstonPharahMercyWinstonD.VaWidowmaker
Dorado	Defense	 PHI	 HOU	4:47	25	0	7	0	0	R	WidowmakerGenjiZenyattaMercyWinstonWidowmakerD.Va
Dorado	Defense	 PHI	 HOU	5:33	14	0	2	0	0	R	ZenyattaWinston
Dorado	Defense	 PHI	 HOU	6:05	35	6	1	1	2	B	GenjiWidowmakerTracerGenjiD.VaZenyattaMercy
Dorado	Defense	 PHI	 HOU	7:07	2	1	0	1	0	B	Mercy
Dorado	Defense	 PHI	 HOU	7:40	41	3	6	4	1	R	GenjiZenyattaWinstonTracerJunkratZenyattaWinstonGenjiMercy
Dorado	Defense	 PHI	 HOU	8:38	21	6	3	1	1	R	TracerZenyattaDoomfistJunkratZenyattaMercyLucioZenyattaWinston
Horizon Lunar Colony	Attack	 PHI	 HOU	0:26	14	7	2	0	0	R	LucioMccreeZenyattaJunkratWinstonRoadhogMercyZenyattaOrisa
Horizon Lunar Colony	Attack	 PHI	 HOU	1:10	0	0	1	0	0	R	Tracer
Horizon Lunar Colony	Attack	 PHI	 HOU	1:41	20	2	5	2	0	R	WinstonMccreeGenjiD.VaMercyZenyattaTracer
Horizon Lunar Colony	Attack	 PHI	 HOU	2:21	39	1	5	1	3	B	JunkratGenjiTracerD.VaWinstonZenyatta
Horizon Lunar Colony	Attack	 PHI	 HOU	3:36	22	3	5	2	1	B	MccreeJunkratWinstonWinstonGenjiZenyattaMercyGenji
Horizon Lunar Colony	Attack	 PHI	 HOU	4:30	8	0	1	0	2	R	D.Va
Horizon Lunar Colony	Attack	 PHI	 HOU	5:20	29	6	5	2	2	R	TracerGenjiZenyattaD.VaMccreeMercyMccreeWinstonGenjiMercyJunkrat
Horizon Lunar Colony	Attack	 PHI	 HOU	6:15	20	2	5	2	1	R	WinstonD.VaMercyMccreeZenyattaD.VaGenji
Horizon Lunar Colony	Attack	 PHI	 HOU	6:52	0	0	1	0	0	R	Zenyatta
Horizon Lunar Colony	Attack	 PHI	 HOU	7:08	9	0	2	0	0	R	ZenyattaWidowmaker
Horizon Lunar Colony	Attack	 PHI	 HOU	7:50	8	1	2	1	2	R	ZenyattaJunkratWinston
Horizon Lunar Colony	Defense	 PHI	 HOU	0:28	11	4	1	0	0	B	WinstonTracerPharahD.VaTracer
Horizon Lunar Colony	Defense	 PHI	 HOU	0:54	8	0	5	0	1	R	WidowmakerZenyattaMercyOrisaD.Va
Horizon Lunar Colony	Defense	 PHI	 HOU	1:36	71	3	13	2	3	B	TracerGenjiMercyJunkratWinstonZenyattaZenyattaGenjiD.VaTracerWinstonGenjiMercyWinstonMoiraD.Va
Oasis	Gardens	 PHI	 HOU	0:28	24	6	2	0	0	B	TracerWinstonPharahLucioD.VaTracerMercyWinston
Oasis	Gardens	 PHI	 HOU	1:18	33	5	1	1	1	B	PharahWinstonTracerTracerLucioD.Va
Oasis	Gardens	 PHI	 HOU	2:15	33	7	2	2	3	B	LucioPharahMercyPharahMercyWinstonTracerD.VaLucio
Oasis	City Center	 PHI	 HOU	0:20	16	6	1	0	0	B	TracerLucioMercyPharahWinstonD.VaLucio
Oasis	City Center	 PHI	 HOU	1:27	31	6	0	3	2	B	D.VaPharahMercyPharahWinstonD.Va
Oasis	City Center	 PHI	 HOU	2:26	19	6	0	1	1	B	PharahMercyLucioWinstonTracerD.Va
Eichenwalde	Attack	 PHI	 HOU	0:28	0	0	1	0	0	R	Tracer
Eichenwalde	Attack	 PHI	 HOU	1:01	13	5	0	1	0	B	ZenyattaJunkratMercyMccreeD.Va
Eichenwalde	Attack	 PHI	 HOU	1:40	2	0	2	0	0	R	MercyWinston
Eichenwalde	Attack	 PHI	 HOU	2:07	28	7	1	0	0	R	WinstonWinstonMccreeZenyattaJunkratMercyMccreeD.Va
Eichenwalde	Attack	 PHI	 HOU	3:10	20	5	4	1	2	B	WinstonMccreeJunkratD.VaZenyattaGenjiD.VaJunkratWinston
Eichenwalde	Attack	 PHI	 HOU	3:51	36	7	2	1	2	B	MercyMccreeGenjiD.VaTracerZenyattaJunkratMercyWinston
Eichenwalde	Attack	 PHI	 HOU	4:49	22	4	3	2	0	B	MercyZenyattaJunkratGenjiWinstonTracerD.Va
Eichenwalde	Attack	 PHI	 HOU	5:54	11	0	3	0	0	R	TracerWinstonGenji
Eichenwalde	Attack	 PHI	 HOU	6:41	53	10	3	5	2	R	GenjiJunkratD.VaMccreeMercyZenyattaOrisaJunkratTracerJunkratMercyGenjiD.Va
Eichenwalde	Attack	 PHI	 HOU	7:51	48	11	3	1	2	R	WinstonJunkratZenyattaMercyLucioTracerD.VaWinstonJunkratWinstonMercyLucioWinstonD.Va
Eichenwalde	Defense	 PHI	 HOU	0:20	22	2	4	0	0	R	Soldier: 76ZenyattaMccreeMercyJunkratD.Va
Eichenwalde	Defense	 PHI	 HOU	0:57	14	1	6	0	0	R	TracerJunkratReinhardtSoldier: 76MercyZenyattaD.Va
Eichenwalde	Defense	 PHI	 HOU	1:44	32	3	7	1	1	B	MccreeTracerGenjiZenyattaZenyattaMercyReinhardtMccreeTracerD.Va
Eichenwalde	Defense	 PHI	 HOU	2:37	24	2	4	0	2	B	ZenyattaMercyMccreeWinstonTracerD.Va
Eichenwalde	Defense	 PHI	 HOU	3:15	20	0	6	2	2	R	TracerZenyattaGenjiMercyWinstonD.Va
Eichenwalde	Defense	 PHI	 HOU	4:10	4	3	0	0	0	B	ZenyattaMccreeD.Va
Eichenwalde	Defense	 PHI	 HOU	5:02	66	6	10	3	3	B	MccreeReinhardtJunkratZaryaReinhardtZaryaZenyattaJunkratZenyattaJunkratZaryaD.VaMercyReinhardtJunkratJunkrat
Eichenwalde	Defense	 PHI	 HOU	0:35	23	1	4	0	1	R	MercyMccreePharahReinhardtD.Va
Lijiang Tower	Control Center	 PHI	 HOU	0:26	9	2	0	1	0	B	JunkratReinhardt
Lijiang Tower	Control Center	 PHI	 HOU	1:01	24	5	1	2	2	R	ReinhardtMccreeJunkratLucioReinhardtZarya
Lijiang Tower	Control Center	 PHI	 HOU	1:50	35	4	5	2	5	B	JunkratReinhardtMccreeMccreeReinhardtD.VaZaryaMercyZarya
Lijiang Tower	Control Center	 PHI	 HOU	2:37	22	5	1	1	1	R	ZenyattaLucioMccreeMoiraJunkratZarya
Lijiang Tower	Night Market	 PHI	 HOU	0:21	40	7	7	0	0	R	WinstonMccreeGenjiD.VaMercyJunkratZenyattaTracerMercyZenyattaMccreeD.VaWinstonD.Va
Lijiang Tower	Night Market	 PHI	 HOU	1:27	71	6	11	2	5	R	TracerMccreeJunkratZenyattaGenjiTracerMccreeWinstonZenyattaD.VaJunkratZenyattaMercyMercyTracerGenjiD.Va
Lijiang Tower	Night Market	 PHI	 HOU	3:15	21	3	4	2	2	B	ZenyattaMercyGenjiZenyattaD.VaTracerGenji
Lijiang Tower	Night Market	 PHI	 HOU	3:55	25	6	2	1	0	R	D.VaJunkratD.VaWinstonGenjiMercyZenyattaGenji
Lijiang Tower	Night Market	 PHI	 HOU	4:46	26	7	1	3	3	B	ZenyattaMercyMercyJunkratWinstonD.VaGenjiZenyatta
Junkertown	Attack	 BOS	 NYE	0:32	28	7	0	0	0	B	RoadhogWidowmakerOrisaZenyattaRoadhogJunkratMercy
Junkertown	Attack	 BOS	 NYE	1:42	10	0	2	0	1	R	BastionOrisa
Junkertown	Attack	 BOS	 NYE	2:20	29	8	1	3	3	B	ZenyattaWidowmakerJunkratOrisaOrisaWidowmakerZenyattaMercyRoadhog
Junkertown	Attack	 BOS	 NYE	3:23	32	2	5	1	1	B	JunkratWidowmakerOrisaZenyattaBastionHanzoD.Va
Junkertown	Attack	 BOS	 NYE	4:15	0	0	1	0	0	R	Genji
Junkertown	Attack	 BOS	 NYE	4:43	34	2	6	1	3	B	JunkratRoadhogGenjiWinstonD.VaGenjiZenyattaD.Va
Junkertown	Attack	 BOS	 NYE	5:48	29	5	2	1	1	B	ZenyattaWidowmakerOrisaRoadhogGenjiMercyWinston
Junkertown	Attack	 BOS	 NYE	6:47	28	2	6	2	3	B	ZenyattaD.VaTracerWinstonJunkratD.VaMercyZenyatta
Junkertown	Attack	 BOS	 NYE	7:48	34	5	7	3	2	B	MccreeMercyMercyZenyattaJunkratZenyattaD.VaGenjiWinstonTracerD.VaLucio
Junkertown	Defense	 BOS	 NYE	0:39	47	4	8	1	0	R	RoadhogHanzoWidowmakerWidowmakerRoadhogMercyRoadhogOrisaZenyattaMercyWidowmakerJunkrat
Junkertown	Defense	 BOS	 NYE	2:00	34	1	7	1	3	R	WinstonTracerD.VaWinstonGenjiTracerMercyWidowmaker
Junkertown	Defense	 BOS	 NYE	3:17	53	1	9	3	3	R	TracerGenjiWinstonD.VaGenjiOrisaWinstonMercyD.VaZenyatta
Horizon Lunar Colony	Attack	 BOS	 NYE	0:21	27	6	3	0	0	R	ZenyattaJunkratWinstonWidowmakerZenyattaMercyOrisaGenjiRoadhog
Horizon Lunar Colony	Attack	 BOS	 NYE	1:24	6	1	2	0	0	R	MercyD.VaGenji
Horizon Lunar Colony	Attack	 BOS	 NYE	1:56	53	11	2	5	4	R	GenjiTracerZenyattaD.VaJunkratZenyattaWinstonMercyJunkratD.VaTracerWinstonLucio
Horizon Lunar Colony	Defense	 BOS	 NYE	0:55	14	2	6	0	0	R	WinstonD.VaWinstonZenyattaTracerMercyGenjiTracer
Horizon Lunar Colony	Defense	 BOS	 NYE	1:36	25	5	0	1	1	B	TracerMoiraSombraLucioD.Va
Horizon Lunar Colony	Defense	 BOS	 NYE	2:35	46	7	5	2	0	R	MccreeZenyattaTracerMoiraD.VaTracerWinstonWinstonLucioTracerD.VaSombra
Horizon Lunar Colony	Defense	 BOS	 NYE	4:00	64	3	14	4	5	B	MccreeWinstonD.VaMercyTracerD.VaZenyattaGenjiWinstonTracerD.VaWinstonMccreeGenjiZenyattaTracerMercy
Horizon Lunar Colony	Defense	 BOS	 NYE	0:22	11	1	4	0	0	B	MoiraMercyD.VaTracerGenji
Horizon Lunar Colony	Defense	 BOS	 NYE	0:56	14	1	6	0	1	R	WinstonTracerD.VaD.VaZenyattaMercyGenji
Horizon Lunar Colony	Defense	 BOS	 NYE	1:28	33	5	2	1	1	R	WinstonGenjiMoiraTracerD.VaWinstonLucio
Horizon Lunar Colony	Defense	 BOS	 NYE	2:44	17	5	1	0	0	B	MccreeMercyZenyattaGenjiJunkratD.Va
Horizon Lunar Colony	Defense	 BOS	 NYE	3:18	19	6	0	4	0	B	MccreeWinstonJunkratZenyattaMercyD.Va
Horizon Lunar Colony	Attack	 BOS	 NYE	0:15	24	2	4	0	0	R	WinstonJunkratZenyattaD.VaZenyattaGenji
Horizon Lunar Colony	Attack	 BOS	 NYE	1:06	18	2	5	0	0	R	GenjiWinstonRoadhogWidowmakerZenyattaMercyD.Va
Horizon Lunar Colony	Attack	 BOS	 NYE	1:49	12	2	1	1	3	B	ZenyattaGenjiWidowmaker
Horizon Lunar Colony	Attack	 BOS	 NYE	2:21	19	6	1	2	1	B	WidowmakerTracerJunkratOrisaMercyZenyattaRoadhog
Horizon Lunar Colony	Attack	 BOS	 NYE	3:26	4	3	0	0	0	B	MercyZenyattaJunkrat
Ilios	Well	 BOS	 NYE	0:14	0	1	0	0	0	B	Tracer
Ilios	Well	 BOS	 NYE	0:43	12	1	5	0	0	R	MercyZenyattaLucioPharahTracerD.Va
Ilios	Well	 BOS	 NYE	1:26	26	5	5	2	1	B	ZenyattaZenyattaMccreeD.VaWinstonTracerPharahMccreeTracerD.Va
Ilios	Well	 BOS	 NYE	2:20	1	1	0	0	2	B	Winston
Ilios	Well	 BOS	 NYE	2:31	65	4	11	4	3	R	TracerTracerWinstonMccreeD.VaMccreeD.VaZenyattaTracerWinstonMccreeMercyMccreeZenyattaTracer
Ilios	Lighthouse	 BOS	 NYE	0:27	19	1	6	0	0	R	PharahZenyattaWinstonMercyLucioTracerD.Va
Ilios	Lighthouse	 BOS	 NYE	1:11	12	0	2	0	2	R	ZenyattaMercy
Ilios	Lighthouse	 BOS	 NYE	2:07	20	2	5	0	1	B	ZenyattaMercyMccreeZenyattaMccreeTracerD.Va
Numbani	Attack	 BOS	 NYE	0:56	27	7	4	0	2	R	TracerMccreeWinstonGenjiWinstonMercyMccreeWinstonJunkratD.VaZenyatta
Numbani	Attack	 BOS	 NYE	2:09	32	4	4	2	0	B	MccreeZenyattaZenyattaWinstonMercyTracerJunkratWinston
Numbani	Attack	 BOS	 NYE	3:00	49	4	6	3	4	R	GenjiMccreeJunkratWinstonGenjiMccreeWinstonMercyD.VaZenyatta
Numbani	Attack	 BOS	 NYE	4:17	30	5	6	2	2	B	ZenyattaTracerMccreeMercyZenyattaMercyD.VaGenjiJunkratD.VaWinston
Numbani	Attack	 BOS	 NYE	5:29	26	1	3	3	2	B	MccreeGenjiWinstonGenji
Numbani	Attack	 BOS	 NYE	6:33	28	3	5	0	1	R	ZenyattaTracerMccreeZenyattaWinstonJunkratZenyattaD.Va
Numbani	Attack	 BOS	 NYE	7:11	19	1	4	1	1	R	TracerMercyWinstonD.VaD.Va
Numbani	Defense	 BOS	 NYE	0:47	4	0	2	0	0	R	AnaSoldier: 76
Numbani	Defense	 BOS	 NYE	1:04	30	3	7	2	2	R	WinstonMercyMccreeAnaWinstonMccreeSoldier: 76D.VaWinstonTracer
Numbani	Defense	 BOS	 NYE	2:36	8	0	5	0	0	R	MercyD.VaTracerWinstonZenyatta
Junkertown	Attack	 VAL	 DAL	0:11	27	6	1	0	0	B	ZenyattaWidowmakerWidowmakerOrisaJunkratZenyattaMercy
Junkertown	Attack	 VAL	 DAL	0:58	27	7	2	1	1	R	WidowmakerHanzoJunkratRoadhogWidowmakerOrisaZenyattaMercyWidowmaker
Junkertown	Attack	 VAL	 DAL	2:12	15	0	6	1	2	R	BastionOrisaWidowmakerRoadhogHanzoMercy
Junkertown	Attack	 VAL	 DAL	3:08	41	6	5	3	5	R	RoadhogJunkratRoadhogWidowmakerTracerOrisaJunkratOrisaRoadhogRoadhogWidowmaker
Junkertown	Attack	 VAL	 DAL	4:06	41	5	3	0	2	B	JunkratOrisaZenyattaJunkratWidowmakerOrisaRoadhogWidowmaker
Junkertown	Attack	 VAL	 DAL	5:00	60	6	4	5	4	B	JunkratOrisaWidowmakerZenyattaRoadhogJunkratMercyMercyWidowmakerWidowmaker
Junkertown	Attack	 VAL	 DAL	6:16	6	1	1	1	1	R	JunkratOrisa
Junkertown	Attack	 VAL	 DAL	6:29	21	5	1	1	1	B	JunkratRoadhogJunkratWidowmakerMercyOrisa
Junkertown	Defense	 VAL	 DAL	0:20	17	0	6	0	0	R	BastionWidowmakerOrisaRoadhogD.VaBastion
Junkertown	Defense	 VAL	 DAL	1:17	14	0	5	0	2	R	OrisaMercyRoadhogZenyattaWidowmaker
Junkertown	Defense	 VAL	 DAL	1:56	21	2	8	1	2	R	JunkratRoadhogOrisaJunkratRoadhogRoadhogWidowmakerZenyattaMercyOrisa
Junkertown	Defense	 VAL	 DAL	2:44	91	4	17	5	6	B	WidowmakerRoadhogOrisaWidowmakerJunkratMercyOrisaWidowmakerZenyattaMercyBastionWinstonD.VaMercyWidowmakerTracerGenjiZenyattaWinstonD.VaMercy
Junkertown	Attack	 VAL	 DAL	0:16	28	6	2	0	0	B	OrisaHanzoMercyWidowmakerRoadhogJunkratZenyattaMercy
Junkertown	Attack	 VAL	 DAL	1:13	15	7	2	1	0	B	OrisaWidowmakerOrisaRoadhogRoadhogJunkratOrisaMercyZenyatta
Junkertown	Attack	 VAL	 DAL	1:55	35	8	4	4	3	B	RoadhogJunkratRoadhogHanzoBastionD.VaRoadhogHanzoD.VaWidowmakerMercyZenyatta
Junkertown	Attack	 VAL	 DAL	3:06	7	2	0	1	0	B	RoadhogD.Va
Junkertown	Attack	 VAL	 DAL	3:45	17	5	2	1	2	B	D.VaTracerWidowmakerMercyZenyattaJunkratMercy
Junkertown	Defense	 VAL	 DAL	0:21	11	1	4	0	0	R	BastionMercyWidowmakerOrisaReinhardt
Junkertown	Defense	 VAL	 DAL	0:57	31	2	7	1	1	R	WidowmakerWidowmakerOrisaZenyattaD.VaMercyJunkratWidowmakerWidowmaker
Junkertown	Defense	 VAL	 DAL	1:44	38	7	3	2	4	R	RoadhogBastionJunkratRoadhogWidowmakerBastionWidowmakerOrisaHanzoMercy
Junkertown	Defense	 VAL	 DAL	2:43	8	2	0	1	0	B	JunkratZenyatta
Junkertown	Defense	 VAL	 DAL	3:16	27	2	6	0	0	R	MercyWidowmakerWidowmakerRoadhogOrisaJunkratZenyattaOrisa
Junkertown	Defense	 VAL	 DAL	4:12	0	1	1	0	0	R	ZenyattaJunkrat
Junkertown	Defense	 VAL	 DAL	4:19	24	0	4	1	1	R	OrisaRoadhogWidowmakerJunkrat
Junkertown	Defense	 VAL	 DAL	4:58	1	0	1	1	0	R	Widowmaker
Junkertown	Defense	 VAL	 DAL	5:11	26	4	7	4	5	B	WidowmakerJunkratJunkratOrisaMercyRoadhogRoadhogOrisaZenyattaZenyattaWidowmaker
Junkertown	Attack	 VAL	 DAL	0:08	10	1	3	0	0	R	HanzoOrisaWinstonBastion
Junkertown	Attack	 VAL	 DAL	0:49	19	6	1	1	1	B	ZaryaWinstonD.VaLucioWidowmakerMoiraRoadhog
Junkertown	Attack	 VAL	 DAL	1:42	16	5	1	1	0	B	D.VaTracerMercyMercyZenyattaGenji
Junkertown	Attack	 VAL	 DAL	2:31	18	5	0	1	0	B	TracerWinstonMercyZenyattaD.Va
Junkertown	Attack	 VAL	 DAL	3:12	19	2	5	3	3	B	WinstonWidowmakerBastionReaperMercyOrisaRoadhog
Junkertown	Defense	 VAL	 DAL	0:07	31	2	4	0	0	R	MercyBastionOrisaGenjiWinstonTracer
Junkertown	Defense	 VAL	 DAL	1:05	17	1	6	1	1	B	JunkratWinstonMercyD.VaZenyattaTracerGenji
Junkertown	Defense	 VAL	 DAL	1:42	5	1	1	0	0	B	JunkratWinston
Horizon Lunar Colony	Attack	 VAL	 DAL	0:32	17	5	0	0	0	B	LucioReinhardtMoiraD.VaTracer
Horizon Lunar Colony	Attack	 VAL	 DAL	1:23	21	7	2	3	2	R	WinstonWinstonTracerTracerMercyD.VaWinstonZenyattaRoadhog
Horizon Lunar Colony	Defense	 VAL	 DAL	0:32	19	0	6	0	0	R	MercyOrisaTracerD.VaZenyattaWidowmaker
Horizon Lunar Colony	Defense	 VAL	 DAL	1:06	13	1	6	0	1	B	LucioPharahTracerZenyattaD.VaMercyWinston
Horizon Lunar Colony	Attack	 VAL	 DAL	0:27	12	0	2	0	0	R	WinstonReaper
Horizon Lunar Colony	Attack	 VAL	 DAL	1:04	47	6	4	3	2	R	MercyZenyattaZaryaGenjiLucioReinhardtD.VaD.VaMoiraRoadhog
Horizon Lunar Colony	Attack	 VAL	 DAL	2:17	17	0	2	1	1	R	MercyZenyatta
Horizon Lunar Colony	Attack	 VAL	 DAL	3:17	74	16	1	5	4	B	MercyJunkratGenjiZenyattaD.VaWinstonZenyattaMeiMercyD.VaWinstonMeiTracerZenyattaD.VaWinstonTracer
Horizon Lunar Colony	Defense	 VAL	 DAL	0:17	21	0	6	0	0	R	D.VaTracerWinstonGenjiZenyattaMercy
Horizon Lunar Colony	Defense	 VAL	 DAL	1:00	23	5	1	1	1	B	LucioMoiraZaryaReinhardtD.VaRoadhog
Horizon Lunar Colony	Defense	 VAL	 DAL	1:54	43	3	5	4	6	R	WinstonGenjiRoadhogGenjiZaryaZenyattaLucioTracer
Horizon Lunar Colony	Defense	 VAL	 DAL	3:14	30	4	8	1	2	R	ZenyattaMercyZenyattaGenjiMercyTracerD.VaWinstonGenjiMercyTracerD.Va
Horizon Lunar Colony	Defense	 VAL	 DAL	4:02	3	3	0	1	0	B	WidowmakerMercyZenyatta
Horizon Lunar Colony	Defense	 VAL	 DAL	4:46	32	5	3	2	3	B	ZenyattaZenyattaZenyattaMercyZenyattaGenjiWinstonD.Va
Horizon Lunar Colony	Defense	 VAL	 DAL	5:42	14	2	1	3	1	R	WinstonD.VaWinston
Horizon Lunar Colony	Defense	 VAL	 DAL	6:21	9	3	1	1	2	B	Soldier: 76MercyWinstonZenyatta
Horizon Lunar Colony	Defense	 VAL	 DAL	0:07	29	4	2	0	0	B	MoiraZaryaWinstonD.VaReinhardtGenji
Horizon Lunar Colony	Defense	 VAL	 DAL	0:50	22	0	7	2	1	R	AnaAnaD.VaMercyWinstonGenjiTracer
Horizon Lunar Colony	Defense	 VAL	 DAL	1:40	24	6	3	4	3	R	GenjiReinhardtWinstonRoadhogMoiraZenyattaLucioWidowmakerD.Va
Horizon Lunar Colony	Attack	 VAL	 DAL	0:12	14	0	2	0	0	R	TracerD.Va
Horizon Lunar Colony	Attack	 VAL	 DAL	0:48	20	2	6	0	0	R	ZenyattaMercyMercyTracerWinstonD.VaJunkratGenji
Horizon Lunar Colony	Attack	 VAL	 DAL	1:47	8	0	3	1	2	R	WinstonTracerMercy
Horizon Lunar Colony	Attack	 VAL	 DAL	2:25	32	7	2	4	2	R	GenjiOrisaD.VaSoldier: 76TracerJunkratD.VaMercySoldier: 76
Horizon Lunar Colony	Attack	 VAL	 DAL	3:22	29	3	5	2	4	B	OrisaTracerGenjiD.VaD.VaWinstonTracerMercy
Ilios	Lighthouse	 VAL	 DAL	0:24	24	7	0	0	0	B	LucioTracerD.VaLucioWinstonPharahMercy
Ilios	Lighthouse	 VAL	 DAL	1:12	27	4	1	1	1	R	ZenyattaMercyWinstonTracerMercy
Ilios	Lighthouse	 VAL	 DAL	2:09	43	8	2	5	4	R	TracerPharahZenyattaLucioTracerMercyWinstonD.VaPharahLucio
Ilios	Ruins	 VAL	 DAL	0:20	10	0	5	0	0	R	D.VaWinstonZenyattaMercyWidowmaker
Ilios	Ruins	 VAL	 DAL	0:52	13	2	2	1	2	R	WinstonZenyattaTracerGenji
Ilios	Ruins	 VAL	 DAL	1:18	21	0	4	1	1	R	WidowmakerTracerD.VaWinston
Ilios	Ruins	 VAL	 DAL	2:01	38	6	5	3	2	B	MercyZenyattaZenyattaMercyWidowmakerWidowmakerGenjiWinstonD.VaD.VaWidowmaker
Ilios	Ruins	 VAL	 DAL	2:54	23	3	7	0	1	R	WidowmakerD.VaZenyattaMercyZenyattaWidowmakerTracerMercyD.VaWinston
Ilios	Ruins	 VAL	 DAL	3:39	45	6	2	2	2	B	ZenyattaWidowmakerWidowmakerZenyattaMercyWidowmakerZenyattaD.Va
Ilios	Ruins	 VAL	 DAL	4:36	26	6	0	3	2	B	WidowmakerMercyGenjiD.VaZenyattaWinston
Numbani	Attack	 VAL	 DAL	0:30	15	4	5	0	0	B	D.VaWinstonWinstonMercyZenyattaTorbjörnPharahMercyTracer
Numbani	Attack	 VAL	 DAL	1:20	17	6	2	0	1	B	D.VaWinstonWinstonSombraD.VaSoldier: 76MercyTorbjörn
Numbani	Attack	 VAL	 DAL	2:10	27	5	1	2	0	B	MercyZenyattaTracerD.VaWidowmakerSoldier: 76
Numbani	Attack	 VAL	 DAL	2:51	31	2	4	2	4	B	WinstonD.VaD.VaWinstonMercyGenji
Numbani	Attack	 VAL	 DAL	3:50	9	2	0	0	0	B	Soldier: 76D.Va
Numbani	Attack	 VAL	 DAL	4:16	47	11	2	5	3	B	MccreeZaryaZenyattaZenyattaMercyMccreeWinstonZaryaJunkratMercyWinstonTracerZenyatta
Numbani	Defense	 VAL	 DAL	0:15	6	2	0	0	0	B	Soldier: 76Genji
Numbani	Defense	 VAL	 DAL	0:49	73	11	9	6	4	R	Soldier: 76WinstonZenyattaD.VaMercyD.VaSoldier: 76TracerD.VaLucioGenjiSoldier: 76MercyZenyattaLucioSoldier: 76MercyGenjiWinstonD.Va
Numbani	Defense	 VAL	 DAL	2:28	36	6	3	3	2	R	ZenyattaMercyD.VaLucioSoldier: 76GenjiSoldier: 76WinstonD.Va
Numbani	Defense	 VAL	 DAL	3:34	23	6	1	2	1	B	GenjiWinstonGenjiZenyattaSoldier: 76LucioD.Va
Dorado	Attack	 FLA	 BOS	0:48	25	5	1	3	1	B	AnaD.VaWinstonTracerWinstonMercy
Dorado	Attack	 FLA	 BOS	1:53	0	0	1	0	0	R	Tracer
Dorado	Attack	 FLA	 BOS	2:26	15	0	4	0	2	R	ZenyattaMercyWidowmakerD.Va
Dorado	Attack	 FLA	 BOS	3:17	25	6	4	3	2	B	D.VaWidowmakerSoldier: 76ZenyattaD.VaWinstonZenyattaWidowmakerZenyattaTracer
Dorado	Attack	 FLA	 BOS	4:20	41	8	1	4	2	B	MercyWinstonTracerTracerD.VaZenyattaSoldier: 76MercyWinston
