Map	Roundtype	Blue Team	Red Team	Ults Blue	Ults Red	Teamcomp Blue	Teamcomp Red
Numbani	Defense	 DAL	 SEO		Mccree	WidowmakerMccreeMercyZenyattaReinhardtZarya	JunkratMccreeMercyZenyattaReinhardtZarya
Numbani	Defense	 DAL	 SEO	ZenyattaZaryaMccreeReinhardtMercyWidowmaker	ZaryaJunkratMercyZenyattaReinhardtJunkrat	WidowmakerMccreeMercyZenyattaReinhardtZarya	JunkratMccreeMercyZenyattaReinhardtZarya
Numbani	Defense	 DAL	 SEO		Mccree	WidowmakerMccreeMercyZenyattaD.VaWinston	JunkratMccreeLucioZenyattaD.VaReinhardt
Numbani	Attack	 DAL	 SEO			Soldier: 76TracerLucioMercyD.VaWinston	PharahSoldier: 76AnaMercyD.VaWinston
Numbani	Attack	 DAL	 SEO	Soldier: 76	MercySoldier: 76	Soldier: 76TracerMercyZenyattaD.VaWinston	PharahSoldier: 76AnaMercyD.VaWinston
Numbani	Defense	 DAL	 SEO			TorbjörnSoldier: 76TracerMercyD.VaWinston	PharahSoldier: 76MercyZenyattaD.VaWinston
Numbani	Defense	 DAL	 SEO	MercyTracer	Soldier: 76	TorbjörnSoldier: 76TracerMercyD.VaWinston	PharahSoldier: 76MercyZenyattaD.VaWinston
Dorado	Attack	 LDN	 FLA	Genji	Winston	GenjiTracerMercyZenyattaD.VaWinston	WidowmakerSoldier: 76MercyZenyattaD.VaWinston
Dorado	Attack	 LDN	 FLA	MercyTracerZenyatta	Zenyatta	GenjiTracerMercyZenyattaD.VaWinston	WidowmakerSoldier: 76MercyZenyattaD.VaWinston
Dorado	Attack	 LDN	 FLA			GenjiTracerMercyZenyattaD.VaWinston	WidowmakerSoldier: 76MercyZenyattaD.VaWinston
Dorado	Attack	 LDN	 FLA	Zenyatta	Mercy	GenjiTracerMercyZenyattaD.VaWinston	WidowmakerSoldier: 76MercyZenyattaD.VaWinston
Dorado	Attack	 LDN	 FLA	WinstonMercyTracer		GenjiTracerMercyZenyattaD.VaWinston	WidowmakerSoldier: 76MercyZenyattaD.VaWinston
Dorado	Attack	 LDN	 FLA	Tracer	AnaWinston	GenjiTracerMercyZenyattaD.VaWinston	Soldier: 76TracerAnaMercyD.VaWinston
Dorado	Attack	 LDN	 FLA	Genji	Soldier: 76Tracer	GenjiTracerMercyZenyattaD.VaWinston	Soldier: 76TracerAnaMercyD.VaWinston
Dorado	Attack	 LDN	 FLA	Zenyatta		GenjiTracerMercyZenyattaD.VaWinston	Soldier: 76TracerAnaMercyD.VaWinston
Dorado	Defense	 LDN	 FLA	Widowmaker	Widowmaker	WidowmakerTracerMercyZenyattaD.VaWinston	WidowmakerTracerMercyZenyattaD.VaWinston
Dorado	Defense	 LDN	 FLA	MercyWinstonZenyatta	MercyTracerZenyattaWinston	WidowmakerTracerMercyZenyattaD.VaWinston	WidowmakerTracerMercyZenyattaD.VaWinston
Dorado	Defense	 LDN	 FLA			JunkratWidowmakerMercyZenyattaD.VaWinston	WidowmakerTracerMercyZenyattaD.VaWinston
Dorado	Defense	 LDN	 FLA			JunkratWidowmakerMercyZenyattaD.VaWinston	WidowmakerTracerMercyZenyattaD.VaWinston
Temple of Anubis	Attack	 LDN	 FLA	ZenyattaGenjiReaper	Tracer	GenjiReaperMercyZenyattaD.VaWinston	JunkratSombraTracerMercyD.VaWinston
Temple of Anubis	Attack	 LDN	 FLA	GenjiWinston	Sombra	GenjiReaperMercyZenyattaD.VaWinston	JunkratSombraTracerMercyD.VaWinston
Temple of Anubis	Attack	 LDN	 FLA			WidowmakerGenjiMercyZenyattaD.VaWinston	WidowmakerSoldier: 76TracerMercyD.VaWinston
Temple of Anubis	Defense	 LDN	 FLA	Zenyatta	TracerGenji	JunkratTracerMercyZenyattaD.VaWinston	GenjiTracerLucioMercyD.VaWinston
Temple of Anubis	Defense	 LDN	 FLA	WinstonTracerJunkrat	Mercy	JunkratTracerMercyZenyattaD.VaWinston	GenjiTracerLucioMercyD.VaWinston
Temple of Anubis	Defense	 LDN	 FLA			JunkratTracerMercyZenyattaD.VaWinston	GenjiTracerLucioMercyD.VaWinston
Temple of Anubis	Defense	 LDN	 FLA	TracerZenyatta	WinstonLucio	JunkratTracerMercyZenyattaD.VaWinston	GenjiTracerLucioMercyD.VaWinston
Temple of Anubis	Defense	 LDN	 FLA	WinstonTracerMercyGenji	MercyGenji	GenjiTracerMercyZenyattaD.VaWinston	GenjiTracerLucioMercyD.VaWinston
Temple of Anubis	Defense	 LDN	 FLA		ZenyattaTracerWinston	GenjiTracerMercyZenyattaD.VaWinston	GenjiTracerMercyZenyattaD.VaWinston
Temple of Anubis	Defense	 LDN	 FLA	MercyGenjiZenyattaWidowmaker	MercyTracerGenji	WidowmakerGenjiMercyZenyattaD.VaOrisa	GenjiTracerMercyZenyattaD.VaWinston
Temple of Anubis	Defense	 LDN	 FLA	Widowmaker		WidowmakerGenjiMercyZenyattaD.VaOrisa	GenjiTracerMercyZenyattaD.VaWinston
Temple of Anubis	Defense	 LDN	 FLA			WidowmakerGenjiMercyZenyattaD.VaOrisa	GenjiTracerMercyZenyattaD.VaWinston
Oasis	University	 LDN	 FLA	ZaryaZenyattaReinhardt	MercyWinstonTracer	JunkratMercyZenyattaReinhardtRoadhogZarya	ReaperTracerLucioMercyD.VaWinston
Oasis	University	 LDN	 FLA		Tracer	JunkratMercyZenyattaReinhardtRoadhogZarya	JunkratTracerMercyZenyattaD.VaWinston
Oasis	University	 LDN	 FLA	Reinhardt		JunkratMercyZenyattaReinhardtRoadhogZarya	JunkratTracerMercyZenyattaD.VaWinston
Oasis	University	 LDN	 FLA	Zarya	Mccree	JunkratMercyZenyattaReinhardtRoadhogZarya	JunkratMccreeMercyZenyattaOrisaRoadhog
Oasis	University	 LDN	 FLA	Mercy	JunkratZenyatta	JunkratMercyZenyattaReinhardtRoadhogZarya	JunkratMccreeMercyZenyattaOrisaRoadhog
Oasis	University	 LDN	 FLA			GenjiTracerMercyZenyattaD.VaWinston	JunkratMccreeMercyZenyattaOrisaRoadhog
Oasis	University	 LDN	 FLA			GenjiTracerMercyZenyattaD.VaWinston	JunkratMccreeMercyZenyattaOrisaRoadhog
Oasis	Gardens	 LDN	 FLA			GenjiTracerMercyMoiraD.VaWinston	GenjiSoldier: 76TracerLucioZenyattaWinston
Oasis	Gardens	 LDN	 FLA	MercyGenjiWinston	RoadhogMercyMccreeJunkrat	GenjiTracerAnaMercyD.VaWinston	JunkratMccreeMercyZenyattaOrisaRoadhog
Oasis	Gardens	 LDN	 FLA			GenjiTracerAnaMercyD.VaWinston	JunkratMccreeMercyZenyattaOrisaRoadhog
Oasis	Gardens	 LDN	 FLA	WinstonZenyatta	OrisaZenyatta	GenjiTracerMercyZenyattaD.VaWinston	JunkratMccreeMercyZenyattaOrisaRoadhog
Oasis	Gardens	 LDN	 FLA	ZenyattaTracer	MccreeRoadhog	GenjiTracerMercyZenyattaD.VaWinston	JunkratMccreeMercyZenyattaOrisaRoadhog
Oasis	Gardens	 LDN	 FLA	WinstonTracer	OrisaZenyattaJunkrat	GenjiTracerMercyZenyattaD.VaWinston	JunkratMccreeMercyZenyattaOrisaRoadhog
Oasis	Gardens	 LDN	 FLA		Mccree	MccreeTracerMercyZenyattaD.VaWinston	JunkratMccreeMercyZenyattaOrisaRoadhog
Numbani	Attack	 LDN	 FLA	ZenyattaWinstonGenji	AnaSoldier: 76Winston	GenjiTracerMercyZenyattaD.VaWinston	Soldier: 76TracerAnaMercyD.VaWinston
Numbani	Attack	 LDN	 FLA			GenjiTracerMercyZenyattaD.VaWinston	Soldier: 76TracerAnaMercyD.VaWinston
Numbani	Attack	 LDN	 FLA	ZenyattaMercyWinstonSoldier: 76Tracer	AnaMercyWinston	Soldier: 76TracerMercyZenyattaD.VaWinston	Soldier: 76TracerAnaMercyD.VaWinston
Numbani	Attack	 LDN	 FLA			Soldier: 76TracerMercyZenyattaD.VaWinston	Soldier: 76TracerAnaMercyD.VaWinston
Numbani	Attack	 LDN	 FLA			Soldier: 76TracerMercyZenyattaD.VaWinston	Soldier: 76TracerAnaMercyD.VaWinston
Numbani	Attack	 LDN	 FLA	MercyTracer	Mercy	MccreeTracerMercyZenyattaD.VaWinston	Soldier: 76TracerMercyZenyattaD.VaWinston
Numbani	Defense	 LDN	 FLA			Soldier: 76TracerAnaMercyD.VaWinston	WidowmakerSoldier: 76MercyZenyattaD.VaWinston
Numbani	Defense	 LDN	 FLA	Tracer		Soldier: 76TracerAnaMercyD.VaWinston	Soldier: 76TracerMercyZenyattaD.VaWinston
Numbani	Defense	 LDN	 FLA	MercySoldier: 76Winston		Soldier: 76TracerAnaMercyD.VaWinston	Soldier: 76TracerMercyZenyattaD.VaWinston
Numbani	Defense	 LDN	 FLA		Soldier: 76Tracer	Soldier: 76TracerAnaMercyD.VaWinston	Soldier: 76TracerMercyZenyattaD.VaWinston
Numbani	Defense	 LDN	 FLA	Mercy	MercyZenyattaWinston	Soldier: 76TracerAnaMercyD.VaWinston	Soldier: 76TracerMercyZenyattaD.VaWinston
Dorado	Attack	 PHI	 HOU			GenjiTracerMercyZenyattaD.VaWinston	Soldier: 76TracerMercyZenyattaD.VaWinston
Dorado	Attack	 PHI	 HOU		Soldier: 76Tracer	GenjiTracerMercyZenyattaD.VaWinston	Soldier: 76TracerMercyZenyattaD.VaWinston
Dorado	Attack	 PHI	 HOU	MercyTracerWinstonTracer	Mercy	GenjiTracerMercyZenyattaD.VaWinston	Soldier: 76TracerMercyZenyattaD.VaWinston
Dorado	Attack	 PHI	 HOU	Genji		GenjiTracerMercyZenyattaD.VaWinston	Soldier: 76TracerMercyZenyattaD.VaWinston
Dorado	Attack	 PHI	 HOU	TracerMercyZenyattaGenji	ZenyattaSoldier: 76TracerWinston	GenjiTracerMercyZenyattaD.VaWinston	Soldier: 76TracerMercyZenyattaD.VaWinston
Dorado	Attack	 PHI	 HOU			GenjiTracerMercyZenyattaD.VaWinston	Soldier: 76TracerMercyZenyattaD.VaWinston
Dorado	Attack	 PHI	 HOU	WinstonTracerZenyatta	MercyTracer	GenjiTracerMercyZenyattaD.VaWinston	JunkratTracerMercyZenyattaD.VaWinston
Dorado	Attack	 PHI	 HOU	Zenyatta	WinstonZenyattaTracer	GenjiTracerMercyZenyattaD.VaWinston	JunkratTracerMercyZenyattaD.VaWinston
Dorado	Defense	 PHI	 HOU			GenjiTracerMercyZenyattaD.VaWinston	WidowmakerPharahMercyZenyattaD.VaWinston
Dorado	Defense	 PHI	 HOU	TracerMercy		GenjiTracerMercyZenyattaD.VaWinston	WidowmakerPharahMercyZenyattaD.VaWinston
Dorado	Defense	 PHI	 HOU	WinstonZenyatta	WidowmakerPharah	GenjiTracerMercyZenyattaD.VaWinston	WidowmakerPharahMercyZenyattaD.VaWinston
Dorado	Defense	 PHI	 HOU	Tracer	Winston	GenjiTracerMercyZenyattaD.VaWinston	WidowmakerPharahMercyZenyattaD.VaWinston
Dorado	Defense	 PHI	 HOU			WidowmakerGenjiMercyZenyattaD.VaWinston	WidowmakerPharahMercyZenyattaD.VaWinston
Dorado	Defense	 PHI	 HOU	MercyZenyatta	MercyWidowmaker	WidowmakerGenjiMercyZenyattaD.VaWinston	WidowmakerPharahMercyZenyattaD.VaWinston
Dorado	Defense	 PHI	 HOU			WidowmakerGenjiMercyZenyattaD.VaWinston	WidowmakerGenjiMercyZenyattaD.VaWinston
Dorado	Defense	 PHI	 HOU			GenjiTracerMercyZenyattaD.VaWinston	WidowmakerGenjiMercyZenyattaD.VaWinston
Dorado	Defense	 PHI	 HOU	Zenyatta	MercyGenji	GenjiTracerMercyZenyattaD.VaWinston	WidowmakerGenjiMercyZenyattaD.VaWinston
Dorado	Defense	 PHI	 HOU	Tracer		GenjiTracerMercyZenyattaD.VaWinston	JunkratTracerMercyZenyattaD.VaWinston
Dorado	Defense	 PHI	 HOU	MercyGenjiZenyattaTracer	Zenyatta	GenjiTracerMercyZenyattaD.VaWinston	JunkratTracerMercyZenyattaD.VaWinston
Dorado	Defense	 PHI	 HOU	Winston	Winston	GenjiTracerLucioZenyattaD.VaWinston	JunkratDoomfistMercyZenyattaD.VaWinston
Horizon Lunar Colony	Attack	 PHI	 HOU			GenjiTracerLucioMercyD.VaWinston	JunkratMccreeMercyZenyattaOrisaRoadhog
Horizon Lunar Colony	Attack	 PHI	 HOU			GenjiTracerMercyZenyattaD.VaWinston	JunkratMccreeMercyZenyattaD.VaWinston
Horizon Lunar Colony	Attack	 PHI	 HOU	GenjiTracer		GenjiTracerMercyZenyattaD.VaWinston	JunkratMccreeMercyZenyattaD.VaWinston
Horizon Lunar Colony	Attack	 PHI	 HOU	Mercy	JunkratMccreeMercy	GenjiTracerMercyZenyattaD.VaWinston	JunkratMccreeMercyZenyattaD.VaWinston
Horizon Lunar Colony	Attack	 PHI	 HOU	ZenyattaTracer	Winston	GenjiTracerMercyZenyattaD.VaWinston	JunkratMccreeMercyZenyattaD.VaWinston
Horizon Lunar Colony	Attack	 PHI	 HOU		MccreeJunkrat	GenjiTracerMercyZenyattaD.VaWinston	JunkratMccreeMercyZenyattaD.VaWinston
Horizon Lunar Colony	Attack	 PHI	 HOU	MercyWinston	MercyZenyatta	GenjiTracerMercyZenyattaD.VaWinston	JunkratMccreeMercyZenyattaD.VaWinston
Horizon Lunar Colony	Attack	 PHI	 HOU	GenjiTracer	Winston	GenjiTracerMercyZenyattaD.VaWinston	JunkratMccreeMercyZenyattaD.VaWinston
Horizon Lunar Colony	Attack	 PHI	 HOU			WidowmakerTracerMercyZenyattaD.VaWinston	JunkratWidowmakerMercyZenyattaD.VaWinston
Horizon Lunar Colony	Attack	 PHI	 HOU			WidowmakerTracerMercyZenyattaD.VaWinston	JunkratWidowmakerMercyZenyattaD.VaWinston
Horizon Lunar Colony	Attack	 PHI	 HOU	Mercy	JunkratMercy	WidowmakerTracerMercyZenyattaD.VaWinston	JunkratWidowmakerMercyZenyattaD.VaWinston
Horizon Lunar Colony	Defense	 PHI	 HOU			WidowmakerTracerMercyZenyattaD.VaOrisa	PharahSombraTracerMercyD.VaWinston
Horizon Lunar Colony	Defense	 PHI	 HOU		Sombra	WidowmakerTracerMercyZenyattaD.VaOrisa	Soldier: 76SombraTracerMercyD.VaWinston
Horizon Lunar Colony	Defense	 PHI	 HOU	ZenyattaMercy	TracerWinstonMercy	GenjiTracerMercyZenyattaD.VaWinston	JunkratTracerMercyZenyattaD.VaWinston
Oasis	Gardens	 PHI	 HOU			PharahTracerLucioMercyD.VaWinston	PharahTracerLucioMercyD.VaWinston
Oasis	Gardens	 PHI	 HOU	Lucio	Mercy	PharahTracerLucioMercyD.VaWinston	PharahTracerLucioMercyD.VaWinston
Oasis	Gardens	 PHI	 HOU	TracerWinston	TracerWinstonPharah	PharahTracerLucioMercyD.VaWinston	PharahTracerLucioMercyD.VaWinston
Oasis	City Center	 PHI	 HOU			PharahTracerLucioMercyD.VaWinston	PharahTracerLucioMercyD.VaWinston
Oasis	City Center	 PHI	 HOU	MercyLucioTracer	TracerPharah	PharahTracerLucioMercyD.VaWinston	PharahTracerLucioMercyD.VaWinston
Oasis	City Center	 PHI	 HOU	Pharah	Tracer	PharahTracerLucioMercyD.VaWinston	PharahTracerLucioMercyD.VaWinston
Eichenwalde	Attack	 PHI	 HOU			Soldier: 76TracerMercyZenyattaD.VaReinhardt	JunkratMccreeMercyZenyattaD.VaWinston
Eichenwalde	Attack	 PHI	 HOU	Mercy		GenjiTracerMercyZenyattaD.VaWinston	JunkratMccreeMercyZenyattaD.VaWinston
Eichenwalde	Attack	 PHI	 HOU			GenjiTracerMercyZenyattaD.VaWinston	JunkratMccreeMercyZenyattaD.VaWinston
Eichenwalde	Attack	 PHI	 HOU			GenjiTracerMercyZenyattaD.VaWinston	JunkratMccreeMercyZenyattaD.VaWinston
Eichenwalde	Attack	 PHI	 HOU	Zenyatta	MercyJunkrat	GenjiTracerMercyZenyattaD.VaWinston	JunkratMccreeMercyZenyattaD.VaWinston
Eichenwalde	Attack	 PHI	 HOU	Genji	MccreeZenyatta	GenjiTracerMercyZenyattaD.VaWinston	JunkratMccreeMercyZenyattaD.VaWinston
Eichenwalde	Attack	 PHI	 HOU	ZenyattaMercy		GenjiTracerMercyZenyattaD.VaWinston	JunkratMccreeMercyZenyattaD.VaWinston
Eichenwalde	Attack	 PHI	 HOU			GenjiTracerMercyZenyattaD.VaWinston	JunkratMccreeMercyZenyattaD.VaOrisa
Eichenwalde	Attack	 PHI	 HOU	ZenyattaMercyGenjiTracerWinston	ZenyattaMccree	GenjiTracerMercyZenyattaD.VaWinston	JunkratMccreeMercyZenyattaD.VaOrisa
Eichenwalde	Attack	 PHI	 HOU	Genji	TracerWinston	GenjiTracerMercyZenyattaD.VaWinston	JunkratTracerLucioMercyD.VaWinston
Eichenwalde	Defense	 PHI	 HOU			Soldier: 76TracerMercyZenyattaD.VaReinhardt	JunkratMccreeMercyZenyattaD.VaWinston
Eichenwalde	Defense	 PHI	 HOU			Soldier: 76TracerMercyZenyattaD.VaReinhardt	JunkratMccreeMercyZenyattaD.VaWinston
Eichenwalde	Defense	 PHI	 HOU	Zenyatta	Winston	GenjiTracerMercyZenyattaD.VaReinhardt	JunkratMccreeMercyZenyattaD.VaWinston
Eichenwalde	Defense	 PHI	 HOU		MccreeJunkrat	GenjiTracerMercyZenyattaD.VaWinston	JunkratMccreeMercyZenyattaD.VaWinston
Eichenwalde	Defense	 PHI	 HOU	TracerZenyatta	WinstonMercy	GenjiTracerMercyZenyattaD.VaWinston	JunkratMccreeMercyZenyattaD.VaWinston
Eichenwalde	Defense	 PHI	 HOU			JunkratMccreeMercyZenyattaD.VaReinhardt	JunkratMccreeMercyZenyattaD.VaWinston
Eichenwalde	Defense	 PHI	 HOU	JunkratMercyMccree	ZenyattaMercyMccree	JunkratMccreeMercyZenyattaReinhardtZarya	JunkratMccreeMercyZenyattaD.VaOrisa
Eichenwalde	Defense	 PHI	 HOU		Junkrat	PharahTracerMercyZenyattaD.VaReinhardt	JunkratMccreeMercyZenyattaD.VaWinston
Lijiang Tower	Control Center	 PHI	 HOU	Reinhardt		MccreeMercyZenyattaD.VaReinhardtZarya	JunkratMccreeLucioMoiraReinhardtZarya
Lijiang Tower	Control Center	 PHI	 HOU	MercyZenyatta	MoiraMccree	MccreeMercyZenyattaD.VaReinhardtZarya	JunkratMccreeLucioMoiraReinhardtZarya
Lijiang Tower	Control Center	 PHI	 HOU	ReinhardtZenyatta	ReinhardtZaryaLucioMoiraJunkrat	MccreeMercyZenyattaD.VaReinhardtZarya	JunkratMccreeLucioMoiraReinhardtZarya
Lijiang Tower	Control Center	 PHI	 HOU	Mccree	Mccree	MccreeMercyZenyattaD.VaReinhardtZarya	JunkratMccreeLucioMoiraReinhardtZarya
Lijiang Tower	Night Market	 PHI	 HOU			GenjiTracerMercyZenyattaD.VaWinston	JunkratMccreeMercyZenyattaD.VaWinston
Lijiang Tower	Night Market	 PHI	 HOU	ZenyattaTracer	WinstonZenyattaJunkratMercyMccree	GenjiTracerMercyZenyattaD.VaWinston	JunkratMccreeMercyZenyattaD.VaWinston
Lijiang Tower	Night Market	 PHI	 HOU	GenjiWinston	GenjiJunkrat	GenjiTracerMercyZenyattaD.VaWinston	JunkratGenjiMercyZenyattaD.VaWinston
Lijiang Tower	Night Market	 PHI	 HOU	Mercy		GenjiTracerMercyZenyattaD.VaWinston	JunkratGenjiMercyZenyattaD.VaWinston
Lijiang Tower	Night Market	 PHI	 HOU	ZenyattaGenjiTracer	JunkratGenjiZenyatta	GenjiTracerMercyZenyattaD.VaWinston	JunkratGenjiMercyZenyattaD.VaWinston
Junkertown	Attack	 BOS	 NYE			BastionHanzoWidowmakerMercyD.VaOrisa	JunkratWidowmakerMercyZenyattaOrisaRoadhog
Junkertown	Attack	 BOS	 NYE		Junkrat	BastionHanzoWidowmakerMercyD.VaOrisa	JunkratWidowmakerMercyZenyattaOrisaRoadhog
Junkertown	Attack	 BOS	 NYE	MercyHanzoBastion	MercyRoadhogZenyatta	BastionHanzoWidowmakerMercyD.VaOrisa	JunkratWidowmakerMercyZenyattaOrisaRoadhog
Junkertown	Attack	 BOS	 NYE	Hanzo	Orisa	BastionHanzoWidowmakerMercyD.VaOrisa	JunkratWidowmakerMercyZenyattaOrisaRoadhog
Junkertown	Attack	 BOS	 NYE			GenjiTracerMercyZenyattaD.VaWinston	JunkratWidowmakerMercyZenyattaOrisaRoadhog
Junkertown	Attack	 BOS	 NYE	Mercy	MercyZenyattaWidowmaker	GenjiTracerMercyZenyattaD.VaWinston	JunkratWidowmakerMercyZenyattaOrisaRoadhog
Junkertown	Attack	 BOS	 NYE	Genji	Roadhog	GenjiTracerMercyZenyattaD.VaWinston	JunkratWidowmakerMercyZenyattaOrisaRoadhog
Junkertown	Attack	 BOS	 NYE	MercyWinston	JunkratMercyZenyatta	GenjiTracerMercyZenyattaD.VaWinston	JunkratMccreeMercyZenyattaD.VaWinston
Junkertown	Attack	 BOS	 NYE	GenjiZenyattaTracer	WinstonMccree	GenjiTracerMercyZenyattaD.VaWinston	JunkratMccreeMercyZenyattaD.VaWinston
Junkertown	Defense	 BOS	 NYE	Widowmaker		JunkratWidowmakerMercyZenyattaOrisaRoadhog	BastionHanzoWidowmakerMercyOrisaRoadhog
Junkertown	Defense	 BOS	 NYE	Mercy	MercyWidowmakerOrisa	GenjiTracerMercyZenyattaD.VaWinston	BastionHanzoWidowmakerMercyOrisaRoadhog
Junkertown	Defense	 BOS	 NYE	ZenyattaGenjiTracer	RoadhogMercyZenyatta	GenjiTracerMercyZenyattaD.VaWinston	JunkratMccreeMercyZenyattaOrisaRoadhog
Horizon Lunar Colony	Attack	 BOS	 NYE			GenjiTracerMercyZenyattaD.VaWinston	JunkratWidowmakerMercyZenyattaOrisaRoadhog
Horizon Lunar Colony	Attack	 BOS	 NYE			GenjiTracerMercyZenyattaD.VaWinston	JunkratTracerMercyZenyattaD.VaWinston
Horizon Lunar Colony	Attack	 BOS	 NYE	MercyGenjiZenyattaWinstonTracer	MercyJunkratTracerZenyatta	GenjiTracerMercyZenyattaD.VaWinston	JunkratTracerMercyZenyattaD.VaWinston
Horizon Lunar Colony	Defense	 BOS	 NYE			GenjiTracerMercyZenyattaD.VaWinston	SombraTracerLucioMoiraD.VaWinston
Horizon Lunar Colony	Defense	 BOS	 NYE	Genji	Tracer	GenjiTracerMercyZenyattaD.VaWinston	SombraTracerLucioMoiraD.VaWinston
Horizon Lunar Colony	Defense	 BOS	 NYE	MercyTracer		MccreeTracerMercyZenyattaD.VaWinston	SombraTracerLucioMoiraD.VaWinston
Horizon Lunar Colony	Defense	 BOS	 NYE	WinstonZenyattaTracerMercy	MccreeJunkratMercyWinstonZenyatta	GenjiTracerMercyZenyattaD.VaWinston	JunkratMccreeMercyZenyattaD.VaWinston
Horizon Lunar Colony	Defense	 BOS	 NYE			GenjiTracerMercyZenyattaD.VaWinston	SombraTracerLucioMoiraD.VaWinston
Horizon Lunar Colony	Defense	 BOS	 NYE		Tracer	GenjiTracerMercyZenyattaD.VaWinston	SombraTracerLucioMoiraD.VaWinston
Horizon Lunar Colony	Defense	 BOS	 NYE	Tracer	Tracer	GenjiTracerMercyZenyattaD.VaWinston	SombraTracerLucioMoiraD.VaWinston
Horizon Lunar Colony	Defense	 BOS	 NYE			GenjiTracerMercyZenyattaD.VaWinston	JunkratMccreeMercyZenyattaD.VaWinston
Horizon Lunar Colony	Defense	 BOS	 NYE	ZenyattaGenjiTracerWinston		GenjiTracerMercyZenyattaD.VaWinston	JunkratMccreeMercyZenyattaD.VaWinston
Horizon Lunar Colony	Attack	 BOS	 NYE			GenjiTracerMercyZenyattaD.VaWinston	JunkratWidowmakerMercyZenyattaOrisaRoadhog
Horizon Lunar Colony	Attack	 BOS	 NYE			GenjiTracerMercyZenyattaD.VaWinston	JunkratWidowmakerMercyZenyattaOrisaRoadhog
Horizon Lunar Colony	Attack	 BOS	 NYE	Genji	WidowmakerMercyJunkrat	GenjiTracerMercyZenyattaD.VaWinston	JunkratWidowmakerMercyZenyattaOrisaRoadhog
Horizon Lunar Colony	Attack	 BOS	 NYE	MercyWinston	Zenyatta	GenjiTracerMercyZenyattaD.VaWinston	JunkratWidowmakerMercyZenyattaOrisaRoadhog
Horizon Lunar Colony	Attack	 BOS	 NYE			GenjiTracerMercyZenyattaD.VaWinston	JunkratTracerMercyZenyattaD.VaWinston
Ilios	Well	 BOS	 NYE			PharahTracerLucioMercyD.VaWinston	MccreeTracerMercyZenyattaD.VaWinston
Ilios	Well	 BOS	 NYE			PharahTracerLucioMercyD.VaWinston	MccreeTracerMercyZenyattaD.VaWinston
Ilios	Well	 BOS	 NYE	PharahTracer	Mercy	PharahTracerMercyZenyattaD.VaWinston	MccreeTracerMercyZenyattaD.VaWinston
Ilios	Well	 BOS	 NYE		WinstonMccree	MccreeTracerMercyZenyattaD.VaWinston	MccreeTracerMercyZenyattaD.VaWinston
Ilios	Well	 BOS	 NYE	WinstonMercyTracerMccree	TracerZenyattaMccree	MccreeTracerMercyZenyattaD.VaWinston	MccreeTracerMercyZenyattaD.VaWinston
Ilios	Lighthouse	 BOS	 NYE			PharahTracerLucioMercyD.VaWinston	MccreeTracerMercyZenyattaD.VaWinston
Ilios	Lighthouse	 BOS	 NYE		MccreeTracer	MccreeTracerMercyZenyattaD.VaWinston	MccreeTracerMercyZenyattaD.VaWinston
Ilios	Lighthouse	 BOS	 NYE		Mercy	MccreeTracerMercyZenyattaD.VaWinston	MccreeTracerMercyZenyattaD.VaWinston
Numbani	Attack	 BOS	 NYE		JunkratMccree	GenjiTracerMercyZenyattaD.VaWinston	JunkratMccreeMercyZenyattaD.VaWinston
Numbani	Attack	 BOS	 NYE	TracerWinston		GenjiTracerMercyZenyattaD.VaWinston	JunkratMccreeMercyZenyattaD.VaWinston
Numbani	Attack	 BOS	 NYE	ZenyattaMercyGenji	JunkratZenyattaMccreeMercy	GenjiTracerMercyZenyattaD.VaWinston	JunkratMccreeMercyZenyattaD.VaWinston
Numbani	Attack	 BOS	 NYE	TracerWinston	JunkratMccree	GenjiTracerMercyZenyattaD.VaWinston	JunkratMccreeMercyZenyattaD.VaWinston
Numbani	Attack	 BOS	 NYE	MercyTracerGenji	WinstonZenyatta	GenjiTracerMercyZenyattaD.VaWinston	JunkratMccreeMercyZenyattaD.VaWinston
Numbani	Attack	 BOS	 NYE		Junkrat	MccreeTracerMercyZenyattaD.VaWinston	JunkratMccreeMercyZenyattaD.VaWinston
Numbani	Attack	 BOS	 NYE	Tracer	Mccree	MccreeTracerMercyZenyattaD.VaWinston	MccreeTracerMercyZenyattaD.VaWinston
Numbani	Defense	 BOS	 NYE			Soldier: 76TracerAnaMercyD.VaWinston	MccreePharahMercyZenyattaD.VaWinston
Numbani	Defense	 BOS	 NYE	AnaTracer	MercyPharah	Soldier: 76TracerAnaMercyD.VaWinston	MccreePharahMercyZenyattaD.VaWinston
Numbani	Defense	 BOS	 NYE			Soldier: 76TracerMercyZenyattaD.VaWinston	Soldier: 76TracerMercyZenyattaD.VaWinston
Junkertown	Attack	 VAL	 DAL			BastionHanzoWidowmakerMercyOrisaRoadhog	JunkratWidowmakerMercyZenyattaOrisaRoadhog
Junkertown	Attack	 VAL	 DAL	Mercy	Widowmaker	BastionHanzoWidowmakerMercyOrisaRoadhog	JunkratWidowmakerMercyZenyattaOrisaRoadhog
Junkertown	Attack	 VAL	 DAL	Hanzo	RoadhogJunkrat	BastionHanzoWidowmakerMercyOrisaRoadhog	JunkratWidowmakerMercyZenyattaOrisaRoadhog
